date,pair,feature,value
2026-05-27,SPY__QQQ,cycle_position,-1.421652934908315
2026-05-27,GLD__SLV,cycle_position,-1.9311220033033258
2026-05-28,KO__PEP,cycle_position,0.4742318106445168
2026-05-28,XOM__CVX,cycle_position,-0.1704492382761526
2026-05-28,MA__V,cycle_position,-1.3735612853679458
2026-05-28,SPY__QQQ,cycle_position,-1.421652934908315
2026-05-28,GLD__SLV,cycle_position,-1.9311220033033258
2026-05-29,KO__PEP,cycle_position,0.4742318106445168
2026-05-29,XOM__CVX,cycle_position,-0.1704492382761526
2026-05-29,MA__V,cycle_position,-1.3735612853679458
2026-05-29,SPY__QQQ,cycle_position,-1.421652934908315
2026-05-29,GLD__SLV,cycle_position,-1.9311220033033258
2026-05-22,KO__PEP,residual,-0.03458062168185716
2026-05-22,XOM__CVX,residual,-0.045926338607046535
2026-05-22,MA__V,residual,-0.14050849839582957
2026-05-22,SPY__QQQ,residual,-0.07726546848747473
2026-05-22,GLD__SLV,residual,-0.06229421947988989
2026-05-26,KO__PEP,residual,-0.03458062168185716
2026-05-26,XOM__CVX,residual,-0.045926338607046535
2026-05-26,MA__V,residual,-0.14050849839582957
2026-05-26,SPY__QQQ,residual,-0.07726546848747473
2026-05-26,GLD__SLV,residual,-0.06229421947988989
2026-05-27,KO__PEP,residual,-0.03458062168185716
2026-05-27,XOM__CVX,residual,-0.045926338607046535
2026-05-27,MA__V,residual,-0.14050849839582957
2026-05-27,SPY__QQQ,residual,-0.07726546848747473
2026-05-27,GLD__SLV,residual,-0.06229421947988989
2026-05-28,KO__PEP,residual,-0.03458062168185716
2026-05-28,XOM__CVX,residual,-0.045926338607046535
2026-05-28,MA__V,residual,-0.14050849839582957
2026-05-28,SPY__QQQ,residual,-0.07726546848747473
2026-05-28,GLD__SLV,residual,-0.06229421947988989
2026-05-29,KO__PEP,residual,-0.03458062168185716
2026-05-29,XOM__CVX,residual,-0.045926338607046535
2026-05-29,MA__V,residual,-0.14050849839582957
2026-05-29,SPY__QQQ,residual,-0.07726546848747473
2026-05-29,GLD__SLV,residual,-0.06229421947988989
2026-05-22,KO__PEP,trend_strength,-0.14343854067196102
2026-05-22,XOM__CVX,trend_strength,-0.029085802457730025
2026-05-22,MA__V,trend_strength,-0.024523169903735854
2026-05-22,SPY__QQQ,trend_strength,0.050277883536827696
2026-05-22,GLD__SLV,trend_strength,0.38006669375924834
2026-05-26,KO__PEP,trend_strength,-0.14343854067196102
2026-05-26,XOM__CVX,trend_strength,-0.029085802457730025
2026-05-26,MA__V,trend_strength,-0.024523169903735854
